Código;Ação;Tipo;Qtde. Teórica;Part. (%);AS;CVM
VALE3;VALE;ON EJ NM;4.547.296.398;20,452;VALE3.SA;4170
ITUB4;ITAUUNIBANCO;PN EJ N1;4.799.907.051;5,966;ITUB4.SA;19348
PETR4;PETROBRAS;PN N2;4.566.441.248;5,285;PETR4.SA;9512
BBDC4;BRADESCO;PN N1;5.156.077.326;3,74;BBDC4.SA;906
B3SA3;B3;ON NM;5.901.731.302;3,52;B3SA3.SA;21610
PETR3;PETROBRAS;ON N2;2.684.384.823;3,52;PETR3.SA;9512
ABEV3;AMBEV S/A;ON;4.386.652.506;3,419;ABEV3.SA;23264
ELET3;ELETROBRAS;ON N1;1.447.696.333;3,112;ELET3.SA;2437
WEGE3;WEG;ON EJ NM;1.481.593.024;2,909;WEGE3.SA;5410
BBAS3;BRASIL;ON EJ NM;1.420.731.069;2,432;BBAS3.SA;1023
RENT3;LOCALIZA;ON NM;893.978.241;2,332;RENT3.SA;19739
ITSA4;ITAUSA;PN EJ N1;5.209.666.310;2,201;ITSA4.SA;7617
SUZB3;SUZANO S.A.;ON ED NM;726.823.001;1,894;SUZB3.SA;13986
GGBR4;GERDAU;PN N1;1.111.956.242;1,761;GGBR4.SA;3980
PRIO3;PETRORIO;ON NM;839.159.130;1,557;PRIO3.SA;22187
EQTL3;EQUATORIAL;ON NM;1.100.513.485;1,515;EQTL3.SA;20010
RADL3;RAIADROGASIL;ON EJ NM;1.196.069.386;1,375;RADL3.SA;5258
BPAC11;BTGP BANCO;UNT EJ N2;1.225.470.424;1,324;BPAC11.SA;22616
RDOR3;REDE D OR;ON NM;932.048.593;1,22;RDOR3.SA;24821
JBSS3;JBS;ON NM;1.134.986.483;1,217;JBSS3.SA;20575
BBSE3;BBSEGURIDADE;ON NM;671.682.536;1,14;BBSE3.SA;23159
RAIL3;RUMO S.A.;ON NM;1.215.642.613;1,094;RAIL3.SA;17450
HAPV3;HAPVIDA;ON NM;4.454.740.939;1,073;HAPV3.SA;24392
LREN3;LOJAS RENNER;ON NM;970.515.779;0,99;LREN3.SA;8133
BBDC3;BRADESCO;ON N1;1.508.883.586;0,982;BBDC3.SA;906
CSAN3;COSAN;ON NM;1.171.063.698;0,965;CSAN3.SA;19836
SBSP3;SABESP;ON NM;340.002.999;0,96;SBSP3.SA;14443
ASAI3;ASSAI;ON NM;936.749.801;0,92;ASAI3.SA;25372
ENEV3;ENEVA;ON NM;1.561.135.009;0,914;ENEV3.SA;21237
HYPE3;HYPERA;ON NM;400.842.480;0,895;HYPE3.SA;21431
VBBR3;VIBRA;ON NM;1.114.442.976;0,834;VBBR3.SA;24295
VIVT3;TELEF BRASIL;ON;429.455.552;0,831;VIVT3.SA;17671
CMIG4;CEMIG;PN N1;1.442.098.974;0,829;CMIG4.SA;2453
KLBN11;KLABIN S/A;UNT N2;701.899.756;0,746;KLBN11.SA;12653
TOTS3;TOTVS;ON NM;519.851.955;0,694;TOTS3.SA;19992
UGPA3;ULTRAPAR;ON NM;1.087.887.681;0,673;UGPA3.SA;18465
ELET6;ELETROBRAS;PNB N1;279.941.393;0,619;ELET6.SA;2437
CPLE6;COPEL;PNB N2;1.563.365.506;0,61;CPLE6.SA;14311
CCRO3;CCR SA;ON NM;1.115.681.435;0,594;CCRO3.SA;18821
ENGI11;ENERGISA;UNT N2;248.477.689;0,544;ENGI11.SA;15253
EMBR3;EMBRAER;ON NM;734.632.205;0,523;EMBR3.SA;20087
TIMS3;TIM;ON NM;808.436.195;0,521;TIMS3.SA;24929
EGIE3;ENGIE BRASIL;ON NM;255.208.461;0,495;EGIE3.SA;17329
SANB11;SANTANDER BR;UNT;355.642.848;0,486;SANB11.SA;20532
GOAU4;GERDAU MET;PN N1;686.077.578;0,476;GOAU4.SA;8656
NTCO3;GRUPO NATURA;ON NM;835.961.011;0,435;NTCO3.SA;24783
CSNA3;SID NACIONAL;ON;589.695.175;0,431;CSNA3.SA;4030
CRFB3;CARREFOUR BR;ON NM;528.743.156;0,392;CRFB3.SA;24171
BRFS3;BRF SA;ON NM;1.076.512.610;0,388;BRFS3.SA;16292
BRAP4;BRADESPAR;PN N1;251.025.058;0,383;BRAP4.SA;18724
TAEE11;TAESA;UNT N2;218.568.234;0,378;TAEE11.SA;20257
MGLU3;MAGAZ LUIZA;ON NM;2.874.188.573;0,358;MGLU3.SA;22470
RRRP3;3R PETROLEUM;ON NM;200.453.863;0,346;RRRP3.SA;25291
BRML3;BR MALLS PAR;ON NM;828.273.884;0,335;BRML3.SA;19909
BRKM5;BRASKEM;PNA N1;265.212.486;0,314;BRKM5.SA;4820
FLRY3;FLEURY;ON NM;370.847.036;0,303;FLRY3.SA;21881
CPFE3;CPFL ENERGIA;ON NM;187.732.538;0,297;CPFE3.SA;18660
MULT3;MULTIPLAN;ON N2;268.145.328;0,285;MULT3.SA;20982
SULA11;SUL AMERICA;UNT N2;284.059.601;0,278;SULA11.SA;21121
CIEL3;CIELO;ON NM;1.095.401.258;0,263;CIEL3.SA;21733
ENBR3;ENERGIAS BR;ON NM;246.028.184;0,256;ENBR3.SA;19763
SOMA3;GRUPO SOMA;ON NM;490.736.222;0,233;SOMA3.SA;25011
ARZZ3;AREZZO CO;ON EJ NM;60.358.029;0,232;ARZZ3.SA;22349
SLCE3;SLC AGRICOLA;ON NM;96.272.020;0,232;SLCE3.SA;20745
AMER3;AMERICANAS;ON NM;596.086.291;0,23;AMER3.SA;20990
CMIN3;CSNMINERACAO;ON N2;1.110.550.596;0,224;CMIN3.SA;25585
RAIZ4;RAIZEN;PN ED N2;1.246.412.032;0,213;RAIZ4.SA;25917
USIM5;USIMINAS;PNA N1;515.014.562;0,199;USIM5.SA;14320
IGTI11;IGUATEMI S.A;UNT N1;216.457.368;0,191;IGTI11.SA;8672
COGN3;COGNA ON;ON NM;1.820.405.422;0,188;COGN3.SA;17973
SMTO3;SAO MARTINHO;ON EJ NM;143.294.210;0,176;SMTO3.SA;20516
CYRE3;CYRELA REALT;ON NM;274.142.301;0,174;CYRE3.SA;14460
BEEF3;MINERVA;ON NM;260.409.710;0,169;BEEF3.SA;20931
AZUL4;AZUL;PN N2;327.646.296;0,162;AZUL4.SA;24112
VIIA3;VIA;ON NM;1.576.975.642;0,158;VIIA3.SA;6505
LWSA3;LOCAWEB;ON NM;419.466.860;0,149;LWSA3.SA;24910
YDUQ3;YDUQS PART;ON NM;296.015.511;0,149;YDUQ3.SA;21016
ALPA4;ALPARGATAS;PN N1;202.765.994;0,141;ALPA4.SA;10456
PCAR3;P.ACUCAR-CBD;ON NM;157.889.627;0,136;PCAR3.SA;14826
MRFG3;MARFRIG;ON NM;316.724.584;0,129;MRFG3.SA;20788
MRVE3;MRV;ON NM;298.436.955;0,117;MRVE3.SA;20915
DXCO3;DEXCO;ON EJ NM;274.863.424;0,107;DXCO3.SA;21091
PETZ3;PETZ;ON NM;335.672.329;0,104;PETZ3.SA;25089
BPAN4;BANCO PAN;PN N1;341.549.703;0,1;BPAN4.SA;21199
IRBR3;IRBBRASIL RE;ON NM;2.455.237.214;0,093;IRBR3.SA;24180
QUAL3;QUALICORP;ON NM;277.039.277;0,074;QUAL3.SA;22497
ECOR3;ECORODOVIAS;ON NM;333.657.615;0,07;ECOR3.SA;19453
EZTC3;EZTEC;ON NM;94.318.339;0,064;EZTC3.SA;20770
GOLL4;GOL;PN N2;190.059.275;0,061;GOLL4.SA;19569
CVCB3;CVC BRASIL;ON NM;275.967.676;0,053;CVCB3.SA;23310
CASH3;MELIUZ;ON NM;657.963.256;0,042;CASH3.SA;25232
POSI3;POSITIVO TEC;ON NM;73.573.028;0,029;POSI3.SA;20362
